    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2018/11/16,08:33:48
MCA Data File,okumura_Cs.asc
Comment,
Date,2018/11/16,08:23:11
Live Time,300,Real Time,487,Preset time,300,Dead Time,0,(%),Mode,PHA
Spectrum Data,Start ch,0,End ch,4095
  chn  ,  data
   0,     300
   1,     487
   2,       0
   3,       0
   4,       0
   5,       0
   6,       0
   7,       0
   8,       0
   9,       0
  10,       0
  11,       0
  12,       0
  13,       0
  14,       0
  15,       0
  16,       0
  17,       0
  18,       0
  19,       0
  20,       0
  21,       0
  22,       0
  23,       0
  24,       0
  25,       0
  26,       0
  27,       0
  28,       0
  29,       0
  30,       0
  31,       0
  32,       0
  33,       0
  34,       0
  35,       0
  36,       0
  37,       0
  38,       0
  39,       0
  40,       0
  41,       0
  42,       0
  43,       0
  44,       0
  45,       0
  46,       0
  47,       0
  48,       1
  49,       0
  50,       0
  51,       1
  52,       0
  53,       1
  54,       0
  55,       0
  56,       1
  57,       2
  58,       0
  59,       1
  60,       0
  61,       0
  62,       0
  63,       1
  64,       2
  65,       5
  66,       3
  67,       2
  68,       2
  69,       4
  70,       2
  71,       7
  72,       5
  73,      12
  74,      33
  75,      71
  76,      95
  77,     189
  78,     369
  79,     736
  80,    1142
  81,    1385
  82,    1409
  83,    1436
  84,    1404
  85,    1349
  86,    1430
  87,    1361
  88,    1409
  89,    1361
  90,    1362
  91,    1400
  92,    1390
  93,    1303
  94,    1459
  95,    1395
  96,    1442
  97,    1452
  98,    1515
  99,    1478
 100,    1590
 101,    1420
 102,    1508
 103,    1460
 104,    1487
 105,    1519
 106,    1579
 107,    1594
 108,    1588
 109,    1564
 110,    1648
 111,    1647
 112,    1662
 113,    1652
 114,    1701
 115,    1657
 116,    1702
 117,    1722
 118,    1845
 119,    1839
 120,    1874
 121,    1861
 122,    1930
 123,    1971
 124,    2070
 125,    2022
 126,    2126
 127,    2385
 128,    2366
 129,    2569
 130,    2614
 131,    2885
 132,    2885
 133,    3062
 134,    3444
 135,    3621
 136,    3821
 137,    4165
 138,    4385
 139,    4805
 140,    5250
 141,    5513
 142,    5952
 143,    6504
 144,    6886
 145,    7422
 146,    7790
 147,    8299
 148,    8784
 149,    9249
 150,    9521
 151,    9893
 152,   10008
 153,   10469
 154,   10725
 155,   10699
 156,   10898
 157,   10763
 158,   10876
 159,   10774
 160,   10771
 161,   10491
 162,   10218
 163,    9983
 164,    9713
 165,    9253
 166,    8761
 167,    8607
 168,    8152
 169,    7667
 170,    7391
 171,    7055
 172,    6591
 173,    6175
 174,    5952
 175,    5646
 176,    5439
 177,    5222
 178,    4745
 179,    4653
 180,    4331
 181,    4219
 182,    3996
 183,    3714
 184,    3642
 185,    3412
 186,    3301
 187,    3102
 188,    3053
 189,    2951
 190,    2700
 191,    2707
 192,    2591
 193,    2562
 194,    2404
 195,    2274
 196,    2363
 197,    2153
 198,    2152
 199,    1980
 200,    1879
 201,    1987
 202,    1914
 203,    1857
 204,    1754
 205,    1772
 206,    1726
 207,    1703
 208,    1761
 209,    1678
 210,    1643
 211,    1725
 212,    1640
 213,    1605
 214,    1618
 215,    1652
 216,    1616
 217,    1720
 218,    1595
 219,    1523
 220,    1543
 221,    1602
 222,    1582
 223,    1515
 224,    1652
 225,    1579
 226,    1527
 227,    1533
 228,    1573
 229,    1516
 230,    1514
 231,    1544
 232,    1428
 233,    1510
 234,    1505
 235,    1525
 236,    1550
 237,    1510
 238,    1530
 239,    1572
 240,    1500
 241,    1537
 242,    1504
 243,    1520
 244,    1475
 245,    1517
 246,    1549
 247,    1494
 248,    1431
 249,    1525
 250,    1512
 251,    1447
 252,    1484
 253,    1473
 254,    1528
 255,    1483
 256,    1488
 257,    1541
 258,    1535
 259,    1463
 260,    1525
 261,    1541
 262,    1515
 263,    1610
 264,    1524
 265,    1516
 266,    1479
 267,    1583
 268,    1465
